sentiment,anger,fear,disgust,happiness,sadness,surprise,cleaned_comment
0.208,1.325,1.421,2.503,2.478,1.493,1.414,semangat mental korban gempa cianjur dipulihkan kembalibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin menembus desa terisolir bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
-0.9035,-0.14750000000000002,-0.08800000000000002,-0.3075,-0.5175,-0.5585,0.165,bin membantu korban gempa cianjur tdk mengalami trauma binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
1.224,0.04750000000000004,0.2145,0.501,-0.5529999999999999,1.204,-0.1265,pmi distribusikan juta liter air bersih warga korban gempa cianjur
1.32,-0.603,0.261,-0.977,0.727,0.206,-0.514,sesar aktif jabar salah satunya ditemukan pasca gempa cianjur lengkapcepatberitanya beritaterkini
0.45725,0.31325,0.9390000000000001,0.378,1.2582499999999999,0.8980000000000001,0.3025,tim trauma healing diterjunkan utk membangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.5403333333333333,-0.02400000000000002,0.7783333333333333,-0.33033333333333337,0.8516666666666666,0.6996666666666668,-0.06800000000000002,tim trauma healing diterjunkan utk membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
-1.134,-0.005,-0.249,0.289,-0.324,-0.971,-0.216,piti mengirimkan bantuan korban gempa cianjur merahputihcom piti korban gempabumi cianjur
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin tembus desa terisolir bantuan warga trdampak gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.45725,0.31325,0.9390000000000001,0.378,1.2582499999999999,0.8980000000000001,0.3025,terjunkan tim trauma healing untk bngkitkan semngat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
-0.5205000000000001,-1.125,-0.8370000000000001,-0.36999999999999994,-0.9515,-0.872,-0.5775,proses pembangunan masjid darurat korban gempa cianjur kolaborasi orangbaik masjid siti djirzanah
0.45725,0.31325,0.9390000000000001,0.378,1.2582499999999999,0.8980000000000001,0.3025,terjunkan tim trauma healing untk bngkitkan semngat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin tembus desa terisolir bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0854,0.3288,0.645,0.337,0.8323999999999998,0.6228000000000001,0.29379999999999995,tim trauma healing bangkitkan semangat mental korban gempa cianjur terima kasih bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin hinga tembus desa terisolir bantuan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.7376666666666667,0.27166666666666667,0.414,0.41583333333333333,-0.06416666666666666,0.031166666666666662,0.9711666666666666,makan siang dapur balita gempa cianjur telur kari cah bayam wortel nasi lunak utk bayi dijadikan nasi tim bubur targetkan dapur pmba mpasi utk bayi balita penyintas gempa cianjur sat dapur kelola
-0.44349999999999995,0.741,0.2665,0.3185,-0.224,0.21950000000000003,0.5565,alhamdulilah semoga bin tim kesehatan membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,keren bin korban gempa cianjur bersemangat binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.48933333333333334,-0.604,-0.9379999999999998,-0.5773333333333334,-0.06599999999999999,-0.3146666666666667,0.13433333333333333,ogah bngt udah buang buang duit aja mnding galang dana korban gempa cianjur lbh br mnfat lbh manusiawi
