Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
"BIN terus berikan bentuan
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#GempaCianjur
#GempaBumi
#CianjurBerduka https://t.co/KuEg6Nw5dH",@indonesiaguardi,2022-12-16 02:13:26,in,,0.0,0.0,,Ernestina,,288.0,0.0,6.0,0.0,False,,
"Badan Intelijen Negara terus memberikan bantuan untuk korban bencana gempandi cianjur
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#GempaCianjur
#GempaBumi
#CianjurBerduka https://t.co/ZaQulENW4k",@indonesiaguardi,2022-12-16 02:12:49,in,,0.0,0.0,,Ernestina,,288.0,0.0,6.0,0.0,False,,
@Jessica70147650  BIN serahkan Bantuan Sembako dan pengobatan gratis bagi masyarakat terdampak Bencana Gempa Bumi Cianjur #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/Pajtt14Soa,@KimMill06064763,2022-12-16 02:12:41,in,,0.0,0.0,@Jessica70147650,Kim Miller,"Model, Content Creator, Lovely gf 💖",1459.0,51.0,29.0,0.0,False,,
"Badan Intelijen Negara beri Perhatian Kepada anak-anak pengungsi di posko bantuan korban bencana gempa di Cianjur
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#GempaCianjur
#GempaBumi
#CianjurBerduka https://t.co/fiyp9OTI7I",@Jessica70147650,2022-12-16 02:09:37,in,,0.0,0.0,,#PrayForCianjur,"Peduli Sesama, Berbagi Bersama",607.0,60.0,35.0,0.0,False,,
"Upaya trauma healing terhadap anak pengungsi di posko bantuan bencana BIN dalam bentuk kegiatan pendidikan anak usia din#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#GempaCianjur
#GempaBumi
#CianjurBerduka https://t.co/TyLTbzcR9i",@indonesiaguardi,2022-12-16 02:07:27,in,,0.0,0.0,,Ernestina,,288.0,0.0,6.0,0.0,False,,
"Bantuan kemanusiaan untuk korban gempa di cianjur
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#GempaCianjur
#GempaBumi
#CianjurBerduka https://t.co/DI9XvNo0rh",@indonesiaguardi,2022-12-16 02:06:37,in,,0.0,0.0,,Ernestina,,288.0,0.0,6.0,0.0,False,,
"BIN rutin memberikan pemeriksaan kesehatan kepada warga pengungsi di posko bantuan BIN Kabupaten Cianjur
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#GempaCianjur
#GempaBumi
#CianjurBerduka https://t.co/YIQqwyK7Ko",@indonesiaguardi,2022-12-16 02:06:11,in,,0.0,0.0,,Ernestina,,288.0,0.0,6.0,0.0,False,,
"Badan Intelijen Negara beri Perhatian Kepada anak-anak pengungsi di posko bantuan korban bencana gempa di Cianjur
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#GempaCianjur
#GempaBumi
#CianjurBerduka https://t.co/A2tpNj003a",@indonesiaguardi,2022-12-16 02:05:23,in,,0.0,0.0,,Ernestina,,288.0,0.0,6.0,0.0,False,,
"BIN adakan kegiatan trauma healing kepada anak-anak pengungsi korban bencana gempa di Cianjur
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#GempaCianjur
#GempaBumi
#CianjurBerduka https://t.co/RZfhVTK2i6",@indonesiaguardi,2022-12-16 02:04:57,in,,1.0,0.0,,Ernestina,,288.0,0.0,6.0,0.0,False,,
@kala_piteng  BIN bergerak untuk kemanusiaan. BIN peduli sesama. #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur #BINPedulisesama #GempaCianjur #GempaBumi #CianjurBerduka https://t.co/3SmbWH95ev,@KimMill06064763,2022-12-16 02:02:49,in,,1.0,1.0,@kala_piteng,Kim Miller,"Model, Content Creator, Lovely gf 💖",1459.0,51.0,29.0,0.0,False,,
